FeatureID,FeatureName,Neutrophils Average,Neutrophils Log2 Fold Change,Neutrophils P-Value
ENSGACG00000005779,ENSGACG00000005779,1.2591899278546093,0.9390927352607975,0.0003310246621997516
ENSGACG00000013244,ENSGACG00000013244,1.2020285237102168,0.927540376897068,0.00040024441520246677
ENSGACG00000010458,BRK1,1.6600112254638772,0.9225470839520808,0.00043209012815798313
ENSGACG00000001512,DBI,1.5546006791115836,0.9110962970048122,0.0005231288180722212
ENSGACG00000013470,CTSS,2.894666823045042,0.884576429701828,0.0007974643454170889
ENSGACG00000020925,mt-nd1,5.757526090558123,0.7292947753139947,0.0072594545933414
ENSGACG00000004818,ENSGACG00000004818,1.3468015602820136,0.7254725000740534,0.007668430448734458
ENSGACG00000020929,mt-nd2,6.14341678842896,0.6962262594459945,0.011018996050962003
ENSGACG00000011650,tegt,1.0983082339320853,0.6850719518138965,0.012693460467376986
ENSGACG00000012607,ENSGACG00000012607,1.3839872049135806,0.6337720406484498,0.023333047722138275
ENSGACG00000006229,fkbp2,1.2112481050238284,0.6318977004756283,0.02390766836554597
ENSGACG00000020940,ENSGACG00000020940,18.563524535164753,0.6237115595119356,0.026011983480733466
ENSGACG00000020938,mt-co2,73.17320467143041,0.610601166074864,0.029971684415668734
ENSGACG00000001954,ENSGACG00000001954,1.6383195994287962,0.6086438034177667,0.030710670754880178
ENSGACG00000017032,cfl1,1.8422260061481748,0.5939287752261997,0.036022602094863694
ENSGACG00000000860,ENSGACG00000000860,9.468253909598266,0.56482458877587,0.048241751354506056
ENSGACG00000014009,si:ch211-79k12.1,1.0551042514985771,0.5649420582915122,0.048426721721077995
ENSGACG00000010310,ppdpfb,2.478018577514074,0.5561617351089088,0.0527303662800612
ENSGACG00000009305,atp5if1b,1.979828257253829,0.5413544974010259,0.060935214141165116
ENSGACG00000020942,mt-co3,29.278086568726668,0.5287677904978079,0.06853522288012719
