,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000001273,2.530110537,-1.41051098,0.92928296,-1.517848752,0.129052532,0.573868488
ENSGACG00000001275,17.41334878,0.065872317,0.44208907,0.149002366,0.881551766,0.975347748
ENSGACG00000001278,26.5984745,-0.042288746,0.228349013,-0.185193469,0.853077292,0.969289441
ENSGACG00000001279,2.872098118,-0.617552224,0.618967386,-0.997713672,0.318418222,0.738249219
ENSGACG00000001281,2.854505708,-0.388217595,0.52176976,-0.744040043,0.45685225,0.813669766
ENSGACG00000001283,12.48815447,-0.677592939,0.519970604,-1.303137012,0.19252799,0.633802142
ENSGACG00000001286,21.91695732,-0.919910218,0.354991279,-2.591360049,0.009559742,0.269608537
ENSGACG00000001289,1.69939193,0.574662167,1.096816187,0.523936621,0.600322623,0.883355508
ENSGACG00000001291,1.757331928,0.005708954,0.73083344,0.007811566,0.993767336,0.999180453
ENSGACG00000001299,6.149205417,-0.102231998,0.427780202,-0.238982538,0.811119123,0.958780101
ENSGACG00000001300,11.69598484,0.053814432,0.31750223,0.169493084,0.865408812,0.971545879
ENSGACG00000001301,2.729892503,-0.365638127,0.55394845,-0.660058038,0.509216585,0.845549843
ENSGACG00000001302,19.83299168,0.313024673,0.227493075,1.375974512,0.168829525,0.613941092
ENSGACG00000001305,215.4504185,0.123327126,0.13688151,0.900977244,0.367600419,0.767624406
ENSGACG00000001307,66.37779712,0.341164303,0.270833239,1.259684016,0.207783374,0.648869614
ENSGACG00000001309,139.7955213,0.144293691,0.146309443,0.986222679,0.324023853,0.744039885
ENSGACG00000001317,1.053755277,0.386936138,1.082172244,0.357555039,0.720676331,0.926936038
ENSGACG00000001319,2.386005063,1.26513543,1.069857332,1.182527233,0.236996566,0.677464451
ENSGACG00000001322,8.658210122,-0.314697727,0.873394747,-0.360315571,0.718611156,0.926776295
ENSGACG00000001323,147.8900808,-0.107109916,0.188639158,-0.567803193,0.570168612,0.867142629
ENSGACG00000001327,25.93320795,0.138681404,0.315686262,0.439301357,0.660443191,0.905590541
