"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000011976","ENSGACG00000011976","Neutrophil","ENSGACT00000015871.1",-0.491541237264414
"ENSGACG00000012167","lgmn","APC","ENSGACT00000016142.1",0.640635966350109
"ENSGACG00000012484","zgc:171772","Bcell","ENSGACT00000016534.1",-0.356792017006371
"ENSGACG00000012552","blvrb","RBC","ENSGACT00000016632.1",-0.970557265235851
"ENSGACG00000012607","ENSGACG00000012607","Neutrophil","ENSGACT00000016707.1",-0.719907123398861
"ENSGACG00000012607","ENSGACG00000012607","Neutrophil","ENSGACT00000016701.1",-0.96992186812007
"ENSGACG00000012635","ENSGACG00000012635","HC","ENSGACT00000016810.1",-0.396889972696189
"ENSGACG00000012665","ENSGACG00000012665","APC","ENSGACT00000016775.1",-1.46270371378947
"ENSGACG00000012769","ENSGACG00000012769","Bcell","ENSGACT00000016904.1",1.16094042681241
"ENSGACG00000012769","ENSGACG00000012769","Bcell","ENSGACT00000016907.1",0.932270996716724
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil","ENSGACT00000017151.1",-0.543549155412541
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast","ENSGACT00000017229.1",0.8406012641535
"ENSGACG00000013073","rpl10","HC","ENSGACT00000017337.1",-0.636775839979581
"ENSGACG00000013220","tmem176l.1","Neutrophil","ENSGACT00000017515.1",-0.264743083396796
"ENSGACG00000013244","ENSGACG00000013244","Neutrophil","ENSGACT00000017540.1",-0.557735892240991
"ENSGACG00000013298","arhgdia","Neutrophil","ENSGACT00000017642.1",-0.819806738634187
"ENSGACG00000013384","rps3","Bcell","ENSGACT00000017742.1",-0.662345673912029
"ENSGACG00000013530","hsp90ab1","HC","ENSGACT00000017921.1",-0.817826544477091
"ENSGACG00000013555","coro1a","Neutrophil","ENSGACT00000017966.1",-0.514395768597608
"ENSGACG00000013795","csf3r","APC","ENSGACT00000018254.1",-0.963842844920089
"ENSGACG00000013901","zgc:92027","Neutrophil","ENSGACT00000018398.1",-0.274470160353127
"ENSGACG00000014009","si:ch211-79k12.1","Neutrophil","ENSGACT00000018534.1",-0.598534625778431
"ENSGACG00000014154","si:dkey-159f12.2","Bcell","ENSGACT00000018731.1",0.715507388237297
"ENSGACG00000014424","ENSGACG00000014424","NKC","ENSGACT00000019060.1",0.611805464523685
"ENSGACG00000014487","zgc:163057","RBC","ENSGACT00000019154.1",-0.897080138359007
"ENSGACG00000014492","hbae5","RBC","ENSGACT00000019169.1",-0.366520019588592
"ENSGACG00000014503","arpc2","Neutrophil","ENSGACT00000019207.1",-0.569385018613999
"ENSGACG00000014527","fbp2","Neutrophil","ENSGACT00000019262.1",0.878155207030714
"ENSGACG00000014527","fbp2","Neutrophil","ENSGACT00000019253.1",-0.600620839696508
"ENSGACG00000014559","rpl3","HC","ENSGACT00000019292.1",-0.542714922553812
"ENSGACG00000014576","ENSGACG00000014576","Neutrophil","ENSGACT00000019271.1",-0.435832585461406
"ENSGACG00000014681","CCT2","HC","ENSGACT00000019439.1",-0.466893539023522
"ENSGACG00000014831","ENSGACG00000014831","Neutrophil","ENSGACT00000019620.1",-0.911937405151617
"ENSGACG00000014908","arl6ip1","Neutrophil","ENSGACT00000019712.1",-0.748383030861728
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil","ENSGACT00000020376.1",-0.596926893309044
"ENSGACG00000015519","ifi30","APC","ENSGACT00000020507.1",-0.52701483482623
"ENSGACG00000015537","cybb","Neutrophil","ENSGACT00000020549.1",-0.432744480202688
"ENSGACG00000015568","rps28","Bcell","ENSGACT00000020572.1",-0.273986274766988
"ENSGACG00000015568","rps28","Bcell","ENSGACT00000020574.1",-0.522753552922716
"ENSGACG00000015634","scinlb","Neutrophil","ENSGACT00000020673.1",-0.807431505681769
"ENSGACG00000015752","rpl13","Bcell","ENSGACT00000020830.1",-0.404561459564942
"ENSGACG00000015825","aldh1a2","Fibroblast","ENSGACT00000020927.1",1.58703865989208
"ENSGACG00000015943","cyba","Neutrophil","ENSGACT00000021084.1",-0.303625327870455
"ENSGACG00000016070","ENSGACG00000016070","Neutrophil","ENSGACT00000021243.1",-0.506942457883883
"ENSGACG00000016089","rpl28","Bcell","ENSGACT00000021270.1",-0.398881115661764
"ENSGACG00000016123","rpl37","Bcell","ENSGACT00000021311.1",-0.159286780290449
"ENSGACG00000016482","hmgb2a","HC","ENSGACT00000021812.1",-0.38285800855445
"ENSGACG00000016593","actb1","Neutrophil","ENSGACT00000021958.1",-0.684289726951185
"ENSGACG00000016657","arpc1b","Neutrophil","ENSGACT00000022036.1",-0.434830074605273
"ENSGACG00000016865","TPM4","Platelet","ENSGACT00000022340.1",-0.506811765304959
"ENSGACG00000016924","fermt3b","Platelet","ENSGACT00000022399.1",0.999844550831385
"ENSGACG00000017028","ENSGACG00000017028","APC","ENSGACT00000022537.1",-0.492522282873176
"ENSGACG00000017032","cfl1","Neutrophil","ENSGACT00000022543.1",-0.138621104008416
"ENSGACG00000017070","anxa4","APC","ENSGACT00000022600.1",-0.642242120386903
