,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000101,1.588763659,0.972221461,0.871419394,1.115675722,0.264560966,0.573498354
ENSGACG00000000103,77.49405083,0.597758121,0.290863508,2.055115562,0.039867844,0.230754118
ENSGACG00000000104,62.64166095,-0.164164803,0.312486622,-0.525349858,0.599340004,0.829199687
ENSGACG00000000107,110.6503163,0.232184315,0.303361868,0.7653708,0.444050776,0.725237538
ENSGACG00000000114,2.321185139,0.055843942,0.852916597,0.065474094,0.947796532,0.983878225
ENSGACG00000000115,2.895243537,0.517298838,0.776065141,0.666566259,0.505049227,0.76766465
ENSGACG00000000117,14.23021298,0.259267301,0.53869741,0.481285591,0.630313537,0.844411765
ENSGACG00000000121,3.612445006,0.342335265,0.74308684,0.460693484,0.64501853,0.852709222
ENSGACG00000000122,8.733701295,0.492362772,0.562998942,0.874535874,0.381826493,0.680180094
ENSGACG00000000123,1.192329339,-0.418583012,1.063636991,-0.393539352,0.693921165,0.877751615
ENSGACG00000000125,10.30614741,-0.514303537,0.507514475,-1.01337708,0.310880083,0.620986958
ENSGACG00000000128,24.71979809,-1.7891885,0.464816616,-3.84923524,0.000118487,0.00911272
ENSGACG00000000129,2.891945348,-1.251378241,1.499636655,-0.834454291,0.404025035,0.699892583
ENSGACG00000000138,79.40175041,-0.440690219,0.293768485,-1.500127623,0.133581347,0.413722864
ENSGACG00000000143,16.25977238,0.287353,0.534253522,0.537858879,0.590674479,0.824208866
ENSGACG00000000147,1.461144837,-1.658088237,1.292477529,-1.282875872,0.199535567,0.499991075
ENSGACG00000000148,91.6336552,-0.78306267,0.311752093,-2.511812073,0.012011303,0.127324755
ENSGACG00000000151,928.6095387,-1.025670459,0.3504175,-2.926995534,0.003422538,0.067947886
ENSGACG00000000156,9.386801463,1.204259085,0.650287069,1.851888409,0.064041849,0.289595832
ENSGACG00000000159,1.049492998,-0.364806936,1.215247952,-0.30019136,0.764031195,0.906333249
ENSGACG00000000160,1.270621095,-1.67616357,1.378095474,-1.216289874,0.223874517,0.526438927
ENSGACG00000000164,61.90104762,-0.19629528,0.170253731,-1.152957285,0.248927918,0.55615608
ENSGACG00000000165,5.690325751,-0.731968076,0.710183039,-1.030675243,0.302693138,0.615102352
ENSGACG00000000166,27.45968616,0.860781788,0.351202057,2.450958844,0.014247624,0.139291298
ENSGACG00000000176,4.252033082,-0.750635998,0.590126317,-1.271992074,0.203375935,0.501817645
ENSGACG00000000182,18.48379789,-0.443665108,0.434868441,-1.020228339,0.30762018,0.619551834
ENSGACG00000000191,55.07402158,0.333744329,0.28144264,1.185834275,0.235687753,0.540035744
ENSGACG00000000192,2.129088504,1.939425042,1.323215639,1.46569084,0.142732531,0.426877304
ENSGACG00000000202,31.75858683,-0.644669605,0.373924993,-1.724061288,0.08469678,0.332074468
ENSGACG00000000204,1.550921848,-0.419774638,1.000551459,-0.419543277,0.674819134,0.86918518
ENSGACG00000000206,2.148644542,-3.806222631,2.523768759,-1.508150308,0.131516062,0.410698486
ENSGACG00000000209,15.39063914,-0.247107716,0.322536116,-0.766139677,0.443593197,0.725197966
ENSGACG00000000212,218.8897008,0.863951604,0.219398239,3.937823784,8.22E-05,0.00767101
ENSGACG00000000214,1.478942856,-1.19730243,1.504593131,-0.795764918,0.426168686,0.713935069
ENSGACG00000000216,40.51394833,-0.069755749,0.222288272,-0.313807601,0.753667171,0.902029204
ENSGACG00000000218,78.75128227,-0.167187193,0.228725214,-0.730952176,0.464808365,0.738100355
