,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000085,174.7756121,0.221562231,0.178812063,1.239078769,0.215316329,0.643398571
ENSGACG00000000086,8.599261121,-0.555431769,0.32848989,-1.690864119,0.090862758,0.492142606
ENSGACG00000000087,7.165271663,-0.193473978,0.327991281,-0.589875371,0.555274207,0.849045875
ENSGACG00000000092,3.535248706,0.028202083,0.344385253,0.081891086,0.934733323,0.98065431
ENSGACG00000000093,7.445638652,-0.764898989,0.412719411,-1.853314793,0.063837252,0.451424098
ENSGACG00000000101,1.588763659,0.233122186,0.559817829,0.416425084,0.677098976,0.900738122
ENSGACG00000000103,77.49405083,0.15328486,0.16064573,0.954179487,0.339992796,0.73836592
ENSGACG00000000104,62.64166095,0.106112196,0.17128314,0.619513374,0.535578214,0.838302175
ENSGACG00000000107,110.6503163,-0.202183599,0.166128725,-1.217029738,0.223592901,0.65233211
ENSGACG00000000114,2.321185139,-0.781874728,0.48933153,-1.597842525,0.110078028,0.522975815
ENSGACG00000000115,2.895243537,0.143842989,0.443485344,0.324346657,0.7456756,0.923601205
ENSGACG00000000117,14.23021298,0.666898962,0.295450589,2.257226712,0.023993912,0.343154639
ENSGACG00000000121,3.612445006,-0.049910937,0.44431769,-0.112331645,0.910560452,0.974970778
ENSGACG00000000122,8.733701295,-0.194597233,0.309033286,-0.629696676,0.528893057,0.834914721
ENSGACG00000000123,1.192329339,-0.804755098,0.616998657,-1.304306078,0.192129244,0.620209256
ENSGACG00000000125,10.30614741,-0.200661193,0.279602121,-0.71766692,0.472962685,0.809788461
ENSGACG00000000128,24.71979809,0.049618467,0.243036276,0.204160744,0.838227887,0.954754838
ENSGACG00000000129,2.891945348,0.123967877,0.794234433,0.156084742,0.875966225,0.965910138
ENSGACG00000000138,79.40175041,-0.257685395,0.160894564,-1.601579256,0.109248681,0.52123384
ENSGACG00000000143,16.25977238,0.34915204,0.291102559,1.199412474,0.2303676,0.655617064
ENSGACG00000000147,1.461144837,0.333111192,0.653362612,0.509841221,0.610162704,0.873881183
ENSGACG00000000148,91.6336552,-0.0672166,0.168234334,-0.399541509,0.689494245,0.904649741
ENSGACG00000000151,928.6095387,0.182392001,0.189980355,0.960057167,0.337026444,0.736146585
ENSGACG00000000156,9.386801463,-0.586135154,0.359820439,-1.6289657,0.10332028,0.512525204
ENSGACG00000000159,1.049492998,-1.339048691,0.695764886,-1.924570667,0.054283092,0.431598426
ENSGACG00000000160,1.270621095,-1.664107835,0.716184879,-2.323572982,0.020148392,0.326303026
ENSGACG00000000164,61.90104762,-0.084503346,0.092937771,-0.90924653,0.363220008,0.753098981
ENSGACG00000000165,5.690325751,-0.342252371,0.38344163,-0.892580106,0.372082077,0.760601792
ENSGACG00000000166,27.45968616,0.102116983,0.198409115,0.514678892,0.606777426,0.872102043
ENSGACG00000000176,4.252033082,-0.142655339,0.295125407,-0.483371935,0.628831672,0.881786419
ENSGACG00000000182,18.48379789,-0.309951137,0.237361823,-1.305817138,0.19161475,0.619636084
ENSGACG00000000191,55.07402158,-0.015246693,0.153489706,-0.099333652,0.92087336,0.978146984
ENSGACG00000000192,2.129088504,1.147157084,0.634236402,1.808721606,0.070494265,0.456825037
ENSGACG00000000202,31.75858683,-0.247866258,0.20347108,-1.218189128,0.22315211,0.652205038
ENSGACG00000000204,1.550921848,0.387631698,0.552529032,0.701558969,0.482954248,0.815097838
ENSGACG00000000206,2.148644542,-0.862489765,0.80426577,-1.072393974,0.283543113,0.6994321
ENSGACG00000000209,15.39063914,0.2290476,0.180773281,1.26704344,0.205139758,0.634031848
ENSGACG00000000212,218.8897008,0.153660727,0.120215577,1.278209782,0.201175468,0.631060814
ENSGACG00000000214,1.478942856,-1.160366396,0.743264254,-1.56117611,0.118482204,0.535429722
ENSGACG00000000216,40.51394833,-0.099786626,0.12415048,-0.803755454,0.421538221,0.78617165
ENSGACG00000000218,78.75128227,-0.183685562,0.126257278,-1.454851274,0.14571044,0.563714708
ENSGACG00000000219,83.32114421,-0.228971055,0.130121009,-1.759677834,0.078462446,0.472287583
ENSGACG00000000222,1.344786497,-1.329149842,0.994781239,-1.336122747,0.181509156,0.609496435
ENSGACG00000000227,40.06839824,0.170026102,0.137839587,1.233507051,0.217386648,0.646085764
