Date,exposed,n_worm_exp,Worm,Pop,Family,Name,RNAseq,FishID,Sex,worm_present,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,Freq Gran,Freq Lymph,Gran1,Gran2,Gran3,Gran4,Lobed_Gran,Lymph1,Lymph2,Lymph3,Lymph4,ISlymph,ISprecur,ISmyeloid,ISeos,Gran_bead1,Gran_ bead2,Gran_bead3,Lymph_bead1,Lymph_bead2,Lymph_bead3,A_Freq Gran,A_Freq Lymph,ROS1,ROS2,ROS3,ROS4,PMAhi,PMAlow,MFI_DHR,avg_spots_per_area,average_spot_size,avg_freq_pigmented,avg_CV,lymph,precursor,myeloid,eosinophil,BG_ROS_L,BG_ROS_G,PMA_ROS_L,PMA_ROS_G,BG_Lhi_MFI,BG_Llow_MFI,BG_Ladj_MFI,BG_Ghi_MFI,BG_Glo_MFI,BG_Gadj_MFI,P_Lhi_MFI,P_Llo_MFI,P_Ladj_MFI,P_Ghi_MFI,P_Glo_MFI,P_Gadj_MFI,NOTES
1/2/2014,T,5,Gos,GG,GG22,E4,Yes,GG22E4,M,F,0,NA,NA,3.525,2.433,59.55,66.4546,30.48,37.0757,38.0331,16.3621,8.5292,62.9244,61.2903,20.3036,11.7647,6.6414,16.5067,6.6699,62.428,1.6795,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2014,T,5,Gos,GG,GG22,E5,Yes,GG22E5,F,T,1,2.7,2.7,2.775,1.471,57.45,83.8516,14.0989,40.5815,41.2558,11.4623,6.7004,59.4185,63.6591,19.0476,12.782,4.5113,7.9643,4.0777,74.7053,2.4212,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2014,F,0,Echo,GG,GG32,C1,Yes,GG32C1,M,F,0,NA,NA,3.72,1.83,60.31,56.6374,39.8243,25.9637,36.3757,22.4191,15.2415,74.0363,46.3138,30.4978,11.0901,12.0983,31.1167,8.6073,36.4617,2.2585,14,1.45,1.25,6.5,0.6,0.19,22.2,74.5,8.84,15.8,1.27,58.4,33.4,63.2,,,,,,56,6.99,15,0.33,0.18,25.1,10.5,69.2,678000,19405,658595,576000,105975,470025,760000,22278,737722,938000,71468,866532,
7/31/2014,F,0,Echo,GG,GG32,C2,Yes,GG32C2,M,F,0,NA,NA,1.786,2.51,60.62,35.4034,62.7386,30.1222,37.9583,19.9137,12.0058,69.8778,44.787,33.6308,6.8966,14.6856,58.8699,4.505,26.3171,0.6363,10.7,1.56,0.8,6.72,0.53,0.22,19.2,77.2,4.63,17.8,1.4,65.5,18.6,77.8,,,,,,57.8,3.94,14,0.46,1.23,15.4,9.18,68,869000,20708,848292,326428,70602,255826,1700000,23486,1676514,1280000,48393,1231607,
7/31/2014,T,5,Echo,GG,GG32,E1,Yes,GG32E1,F,F,0,NA,NA,2.436,3.8,74.01,53.5613,45.0664,37.2509,32.2895,17.6495,12.8101,62.7491,37.5544,43.5959,5.9932,12.8565,37.8785,4.0296,39.6428,1.394,10.3,1.21,0.7,6.39,0.72,0.21,40.2,54.5,6.37,30.4,0.42,46,39.5,55.4,,,,,,32.3,5.76,30,0.84,0.098,10.9,3.63,57.3,817000,14252,802748,310901,60751,250150,894000,17674,876326,912000,56929,855071,
7/31/2014,T,5,Echo,GG,GG32,E2,Yes,GG32E2,F,F,0,NA,NA,3.55,4.12,73.21,22.1693,73.3803,38.1886,27.8245,18.2073,15.7796,61.8114,38.1382,49.6192,3.0748,9.1678,69.3231,2.3598,16.539,0.7659,11.6,1.36,0.49,7.23,0.61,0.13,25,68.1,2.78,26.2,0.45,52.4,63.5,34.2,,,,,,30.2,10.1,15.8,0.64,0.48,7.46,50.3,90.9,754000,38705,715295,326428,53131,273297,1270000,22552,1247448,1250000,73528,1176472,
7/31/2014,T,5,Echo,GG,GG32,E3,Yes,GG32E3,F,T,1,52.8,52.8,4.872,3.61,70.56,58.0066,38.4219,32.331,26.9759,19.8167,20.6186,67.4112,40.0346,42.4125,6.8742,10.5491,31.412,4.2525,41.8439,1.8605,9.85,1.24,0.48,6.28,0.56,0.22,47.1,49,6.84,42,0.28,36.9,50.8,45.5,,,,,,29.9,6.98,38.1,0.44,0.19,11.1,31,84.7,1300000,39021,1260979,314712,67792,246920,1120000,38392,1081608,942000,68902,873098,
7/10/2014,F,0,Echo,GG,GG42,C1,Yes,GG42C1,M,F,0,NA,NA,1.122,2.55,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,0.51,0.14,2.53,0.21,0.11,24.1,69.1,4.07,23.5,0.52,61.2,22.7,73.8,,,,,,41.9,4.99,15.1,1.06,0.39,10.1,9.83,64,811000,26208,784792,310901,63527,247374,1210000,26855,1183145,1120000,64045,1055955,"LOOKS LIKE RR, NOT GG - NOT ENOUGH CELLS TO DO IMAGESTREAM"
7/10/2014,F,0,Echo,GG,GG42,C2,Yes,GG42C2,M,F,0,NA,NA,1.512,2.02,56.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,0.4,0.058,1.93,0.12,0.039,25,67.5,4.13,24.9,0.21,59.3,30.6,67,,,,,,32.7,5.54,16,0.77,0.18,10.6,15.2,71.4,675000,32635,642365,333125,58333,274792,794000,26964,767036,807000,41136,765864,"LOOKS LIKE RR, NOT GG - NOT ENOUGH CELLS TO DO IMAGESTREAM"
7/10/2014,T,5,Echo,GG,GG42,E2,Yes,GG42E2,M,F,0,NA,NA,0.72,2.38,56.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,0.7,0.29,2.43,0.2,0.1,19.5,76.7,2.18,19.2,0.21,66.5,28.4,66.8,,,,,,53.5,4.2,13.3,0.57,0.15,8.43,15.3,81.2,769000,21654,747346,250690,50810,199880,1230000,17319,1212681,1030000,64830,965170,"LOOKS LIKE RR, NOT GG - NOT ENOUGH CELLS TO DO IMAGESTREAM"
