FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000003336,ENSGACG00000003336,9.742645028750312,-0.18719747471988546,1,11.191921887116544,0.18719747471988546,1
ENSGACG00000003628,rpl30,6.456931053598408,0.10122504172083602,1,6.068390464358079,-0.10122504172083602,1
ENSGACG00000003995,rplp1,9.551816867574647,-0.08863616655995799,1,10.24706284551693,0.08863616655995799,1
ENSGACG00000005947,sla1,1.3288579223687214,0.05968769775414062,1,1.2775558872332797,-0.05968769775414062,1
ENSGACG00000007961,rpl15,3.757579973695366,-0.21825235077294103,1,4.4049062361897455,0.21825235077294103,1
ENSGACG00000008253,ENSGACG00000008253,0.5933021011097946,-1.0536860577554272,1,1.2376322657572398,1.0536860577554272,1
ENSGACG00000008265,rpl14,6.925327449211403,0.17097791695442233,1,6.201469202611546,-0.17097791695442233,1
ENSGACG00000009814,rps18,8.139688474874726,-0.2345713881763123,1,9.661516397201678,0.2345713881763123,1
ENSGACG00000002699,ENSGACG00000002699,6.6928640528701395,0.0003384846033891442,1,6.747092029450759,-0.0003384846033891442,1
ENSGACG00000000082,ENSGACG00000000082,1.606426156806052,0.12526411229008028,1,1.4771739946134796,-0.12526411229008028,1
ENSGACG00000000061,cnbpa,1.4988684659615863,-0.23322793651093543,1,1.7699472187711063,0.23322793651093543,1
ENSGACG00000015245,naca,3.9692257524538306,0.006951231708537398,1,3.9790542737786523,-0.006951231708537398,1
ENSGACG00000011807,tmem189,1.131090555332123,-0.0800097754805017,1,1.1977086442811997,0.0800097754805017,1
ENSGACG00000010457,ENSGACG00000010457,1.3878411721866541,-0.1358845294525396,1,1.5304054899148662,0.1358845294525396,1
ENSGACG00000010310,ppdpfb,3.4626637246057017,0.08478259662565524,1,3.287044834860626,-0.08478259662565524,1
ENSGACG00000009964,tktb,1.3704931575343209,1.6165318180493826,1,0.4391598362364399,-1.6165318180493826,1
ENSGACG00000009706,csrp1a,1.009654452765791,1.2200684787416762,1,0.42585196241109324,-1.2200684787416762,1
ENSGACG00000009225,ENSGACG00000009225,1.1761953934281892,-0.5046557114143518,1,1.6767921019936796,0.5046557114143518,1
ENSGACG00000008944,ENSGACG00000008944,3.403680474787769,0.5795890258980807,1,2.2889542979596262,-0.5795890258980807,1
